Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology-Type,Installed Capacity (MWelec),CHP Enabled,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,lat,lng
5917,14/06/2016,Short Bros Homes,Dura Park Bynea Industrial Site,Solar Photovoltaics,1.4,n/a,n/a,n/a,n/a,Roof,Operational,Operational,"Former Bowdens Site, Yspitty Road, Dura Industrial Park, Llanelli, Dyfed, Wales",Carmarthenshire,Wales,Wales,255583.00,198601.00,Carmarthenshire County Council,S/32873,,,,,,22/10/2015,,,,,,,15/12/2015,,,,15/12/2018,01/09/2015,21/12/2015,51.667572,-4.089665
5923,17/05/2017,Earthworm,Land at Borras Hall,Solar Photovoltaics,10,n/a,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land T The West And North Of, Borras Hall Lane, Llan-y-Pwll, Wrexham, Clwyd, Wales",Wrexham,Wales,Wales,336822.00,353033.00,Wrexham County Borough Council,P/2015/0777,,,,,,28/10/2015,,,,,,,11/03/2016,,,,11/03/2021,,,53.070779,-2.9443828
6013,16/06/2017,Cenin Renewables,"Parc Stormy, Stormy Down",Wind Onshore,2.5,n/a,2.5,1,125,n/a,Planning Permission Granted,Awaiting Construction,"Land At Parc Stormy, Stormy Down, Pyle, Bridgend",Mid Glamorgan,Wales,Wales,284119.00,180079.00,Bridgend County Borough Council,P/15/868/FUL,,,,,,04/01/2016,,,,,,,18/08/2016,,,,18/08/2021,,,51.507722,-3.6711273
6015,25/07/2016,Haymaker Energy,Kinmel 2 CIC,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land immediately north of A547, Rhuddlan Road, Towyn, Conwy",Gwynedd,Wales,Wales,298420.00,377733.00,Conwy County Borough Council,0/40999,,,,,,27/08/2014,,,,,,,11/03/2015,,,,11/03/2020,21/03/2016,27/06/2016,53.286798,-3.5252087
6016,21/06/2016,Volac,Felinfach,Biomass (dedicated),3.2,Yes,n/a,n/a,n/a,n/a,Operational,Operational,"Volac International Ltd, Felinfach, Lampeter",Ceredigion,Wales,Wales,251860.00,257661.00,Ceredigion County Council,A131001,,,,,,22/01/2014,,,,,,,29/05/2014,,,,29/05/2017,15/03/2015,15/03/2016,52.197223,-4.1689056
6033,16/06/2017,Clean Earth Energy,Bodtegir,Wind Onshore,1.5,n/a,1.5,1,100,n/a,Planning Permission Granted,Awaiting Construction,"Land at Bodtegir, part of the, Mwdwl Eithin, Nant Bach Wind Farm On Land At, Corwen",Clwyd,Wales,Wales,299554.00,347741.00,Conwy County Borough Council,0/42466,,,,,,12/02/2016,,,,,,,20/04/2016,,,,20/04/2021,,,53.017511,-3.4987867
6035,18/11/2016,Suncredit UK (Sunventures 7) ,Caergarw Farm,Solar Photovoltaics,3.8,n/a,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land at Caegarw Farm, Margam, Pyle, Bridgend",Mid Glamorgan,Wales,Wales,282219.00,183728.00,Neath Port Talbot County Borough Council,P2015/0692,,,,,,23/11/2015,,,,,,,17/05/2016,,,,17/05/2019,,,51.540124,-3.6997127
6053,16/12/2016,Belvedere Energy Developments,Pant Cefn Farm,Solar Photovoltaics,2.9,n/a,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Pantcefn Farm, Llanarth, Dyfed",Ceredigion,Wales,Wales,243298.00,257835.00,Ceredigion County Council,A150537,,,,,,09/10/2015,,,,,,,01/07/2016,,,,01/07/2021,,,52.196417,-4.2941538
6064,19/05/2017,Green Plan Energy/ Equitix ,Land at Bryn Lane ,Biomass (dedicated),5.4,No,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Land at Bryn Lane, Wrexham Industrial Estate, Wreham",Wrexham,Wales,Wales,338821.00,350498.00,Wrexham County Borough Council,P/2010/0642,,,,,,02/09/2010,,,,,,,09/07/2015,,,,09/07/2020,,,53.048227,-2.9140695
6071,01/09/2016,Countryside Renewables,Rhyd y Groes,Solar Photovoltaics,49.9,n/a,n/a,n/a,n/a,Ground,Planning Application Submitted,Application Submitted,"Llanbadrig, Cemaes Bay, Gwynedd",Isle of Anglesey,Wales,Wales,239215.00,392601.00,Isle of Anglesey County Council,20C102P/EIA/RE,,,,,,01/03/2016,,,,,,,,,,,,,,53.405664,-4.4201605
