Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology-Type,Installed Capacity (MWelec),CHP Enabled,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,lat,lng
552,15/07/2009,Waste Recycling Group,Llandulas Landfill Scheme,Landfill Gas,2.9,No,n/a,n/a,n/a,n/a,Operational,Operational,"Llandulas, Abergele, Clwyd",Clwyd,Wales,Wales,291000.00,378500.00,Conwy County Borough Council,,,,,,,14/11/1997,,,,,,,19/03/1998,,,,,,19/07/1999,53.292214,-3.6367276
601,15/07/2009,NOVERA,Silent Valley Landfill Scheme,Landfill Gas,2.7,No,n/a,n/a,n/a,n/a,Operational,Operational,"Silent Valley Landfill Site, Waunlwyd Ebbw Vale",Gwent,Wales,Wales,318500.00,207000.00,Blaenau Gwent County Borough Council,,,,,,,08/03/1994,,,,,,,14/04/1994,,,,,,11/03/2006,51.755737,-3.1821425
602,04/10/2004,Neath Port Talbot Waste Management Co Ltd,Briton Ferry,Landfill Gas,2,No,n/a,n/a,n/a,n/a,Operational,Operational,"Giants Grave Road, Briton Ferry, Neath, West Glamorgan",West Glamorgan,Wales,Wales,273400.00,195300.00,Neath Port Talbot County Borough Council,961021,,,,,,18/04/1996,,,,,,,05/06/1996,,,,,,01/09/2004,51.642208,-3.8309872
603,30/06/2009,,Withyhedge Generation Plant,Landfill Gas,2.4,No,n/a,n/a,n/a,n/a,Operational,Operational,"Bowling Farm, Rudbaxton, Haverfordwest, Pembroke, Dyfed",Dyfed,Wales,Wales,196800.00,221800.00,Pembrokeshire County Council,Possibly 99/718,,,,,,06/12/1999,,,,,,,07/03/2000,,,,,01/05/2006,01/09/2007,51.857694,-4.9521989
604,09/12/2003,Renewable Power Generation Ltd,Tythegston Landfill Site,Landfill Gas,1.2,No,n/a,n/a,n/a,n/a,Operational,Operational,"Tythegston Landfill SiteTythegston Mid Glamorgan",Mid Glamorgan,Wales,Wales,285100.00,178800.00,Bridgend County Borough Council,,,,,,,01/07/1997,,,,,,,04/09/1997,,,,,,01/10/1998,51.496427,-3.6565814
605,15/07/2009,Natural Power,Briton / Neath,Landfill Gas,2.2,No,n/a,n/a,n/a,n/a,Operational,Operational,"Neath Landfill, Giant Grave Road, West Glamorgan",West Glamorgan,Wales,Wales,273300.00,195400.00,Neath Port Talbot County Borough Council,,,,,,,26/04/2000,,,,,,,06/06/2000,,,,,,01/06/2004,51.643084,-3.8324678
606,15/07/2009,South Wales Power Ltd,Lamby Way Landfill Site,Landfill Gas,4,No,n/a,n/a,n/a,n/a,Operational,Operational,Lamby Way  Cardiff,South Glamorgan,Wales,Wales,322200.00,178300.00,Cardiff Council,,,,,,,12/08/1997,,,,,,,03/10/1998,,,,,,27/11/1998,51.498264,-3.1221643
607,15/07/2009,NOVERA,Nant y Caws Landfill Site,Landfill Gas,1.4,No,n/a,n/a,n/a,n/a,Operational,Operational,"Nant y Caws Landfill Site, Carmarthenshire",Dyfed,Wales,Wales,247200.00,217700.00,Carmarthenshire County Council,,,,,,,27/05/1999,,,,,,,15/09/1999,,,,,,01/12/2001,51.836946,-4.2191869
665,30/04/2010,NOVERA,Brynpica Landfill Site,Landfill Gas,2.7,No,n/a,n/a,n/a,n/a,Operational,Operational,Brynpica Landfill Site,Mid Glamorgan,Wales,Wales,297500.00,196500.00,Rhondda Cynon Taff County Borough Council,03/0026,,,,,,09/01/2003,,,,,,,20/03/2003,,,,,,01/08/2003,51.657908,-3.4831929
756,15/07/2009,Renewable Power Systems,Docksway Landfill Scheme,Landfill Gas,2,No,n/a,n/a,n/a,n/a,Operational,Operational,Newport,Gwent,Wales,Wales,330500.00,185300.00,Newport City Council,99/0337,,,,,,23/03/1999,,,,,,,19/05/1999,,,,,,30/03/2000,51.562277,-3.0040007
768,18/05/2017,Infinis/Novera Energy (TREHIR DEVELOPMENT COMPANY LTD),Trehir Generation Project,Landfill Gas,1.3,No,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Caerphilly, Mid Glamorgan",Mid Glamorgan,Wales,Wales,315500.00,189700.00,Caerphilly County Borough Council,10/0213/FULL,,,,,,24/03/2010,,,,,,,19/05/2010,,,,,,,51.599779,-3.2214026
769,10/01/2005,Biffa,Trecatti,Landfill Gas,7,No,n/a,n/a,n/a,n/a,Operational,Operational,"Fochriw Road, Nr Merthyr Tydfil, Mid Glamorgan",Mid Glamorgan,Wales,Wales,311626.00,205713.00,Caerphilly County Borough Council,,,,,,,20/05/1997,,,,,,,24/07/1997,,,,,,30/07/2002,51.743124,-3.281377
802,15/07/2009,Waste Recycling Group,PwllfaWatkin Landfill Gas Site,Landfill Gas,3.2,No,n/a,n/a,n/a,n/a,Operational,Operational,"Pwllfawatkin Landfill SiteRhy Dy FroPontardaweSwanseaWest GlamorganSA8 4RX",West Glamorgan,Wales,Wales,271645.00,205725.00,Neath Port Talbot County Borough Council,P/05/213,,,,,,26/01/2005,,,,,,,11/08/2005,,,,,,01/11/2005,51.735493,-3.8601734
922,07/04/2015,Viridor,Trident Park,EfW Incineration,30,Yes,n/a,n/a,n/a,n/a,Operational,Operational,"Land at Trident Park, Glass Avenue, Cardiff",South Glamorgan,Wales,Wales,320179.00,175481.00,Cardiff Council,10/00149/E,,,,,,01/02/2010,,,,,,,29/06/2010,,,,,30/07/2012,10/03/2015,51.47264,-3.150634
1001,16/12/2016,Wheelabrator,Parc Adfer EfW,EfW Incineration,16,Yes,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Shotton Works, Deeside Industrial Park, Deeside",Clwyd,Wales,Wales,331063.00,371586.00,Flintshire County Council,52626,,,,,,22/09/2014,,,,,,,09/06/2015,,,,09/06/2020,,,53.23681,-3.0343222
1055,24/08/2011,Mr G Peters�,Rhosygilwen Solar Farm,Solar Photovoltaics,1,n/a,n/a,n/a,n/a,,Operational,Operational,"Rhoshill, Cardigan",Dyfed,Wales,Wales,220298.00,240670.00,Pembrokeshire County Council,10/0750/PA,,,,,,23/11/2010,,,,,,,06/01/2011,,,,,,09/07/2011,52.035238,-4.6212478
1056,29/05/2012,m03 Power,Llancayo Solar Farm,Solar Photovoltaics,3.9,n/a,n/a,n/a,n/a,,Operational,Operational,"Llancayo Farm, Llancayo, Usk, Gwent",Gwent,Wales,Wales,336790.00,203067.00,Monmouthshire County Council,DC/2011/00196,,,,,,16/04/2011,,,,,,,03/06/2011,,,,,,01/07/2011,51.722746,-2.91649
1161,04/06/2013,Mr Martyn Llewelyn,Ffos Las Racecourse,Solar Photovoltaics,5.5,n/a,n/a,n/a,n/a,,Operational,Operational,"Trimsaran, Kidwelly, Carmarthenshire",Dyfed,Wales,Wales,245478.00,205296.00,Carmarthenshire County Council,S/24039,,,,,,22/11/2010,,,,,,,22/04/2011,,,,,,30/06/2012,51.725032,-4.2386346
1221,22/06/2017,Solar IQ,Cwm Nant Gwyn,Solar Photovoltaics,2.5,n/a,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,"Cegn Ydfa Coytrahen, Bridgend",Mid Glamorgan,Wales,Wales,287395.00,187266.00,Bridgend County Borough Council,P/12/887/FUL,,,,,,19/12/2012,,,,,,,13/02/2013,,,,,,,51.57298,-3.6262456
1244,29/09/2015,Vogt Solar,West Farm (Solar),Solar Photovoltaics,7.7,n/a,n/a,n/a,n/a,,Operational,Operational,"Cosheston, Pembroke Dock",Dyfed,Wales,Wales,199608.00,203981.00,Pembrokeshire County Council,12/0050/PA,,,,,,01/05/2012,,,,,,,28/11/2012,,,,,,28/03/2013,51.698705,-4.9011902
1327,11/08/2016,Juwi Renewable Energies,Blaenporth Solar Farm,Solar Photovoltaics,7,n/a,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,"Blaenporth, Cardigan",Dyfed,Wales,Wales,226464.00,248292.00,Ceredigion County Council,A140370,,,,,,22/05/2014,,,,,,,03/09/2014,,,,03/09/2017,,,52.105662,-4.5353291
1330,30/04/2014,Wessex Solar Energy,Cefn Betingau Farm,Solar Photovoltaics,9,n/a,n/a,n/a,n/a,,Operational,Operational,"Land at Cefn Betingau Farm, Morriston, Swansea ",West Glamorgan,Wales,Wales,266050.00,212400.00,City and County Council of Swansea,2013/0865,,,,,,10/06/2013,,,,,,,28/08/2013,,,,,,31/03/2014,51.794164,-3.9437237
1356,26/03/2013,Lightsource Renewable Energy,Pont Andrew Solar Farm,Solar Photovoltaics,1.5,n/a,n/a,n/a,n/a,,Operational,Operational,"LAND AT FORMER CYNHEIDRE SHAFTS 3 & 4, CYNHEIDRE, LLANELLI",Dyfed,Wales,Wales,252617.00,210675.00,Carmarthenshire County Council,S/24069,,,,,,29/11/2010,,,,,,,22/04/2011,,,,,,31/07/2012,51.775285,-4.137634
1388,14/06/2013,AEE Renewables,Jordanston Solar Farm,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,,Operational,Operational,"St Florence, Tenby, Dyfed",Dyfed,Wales,Wales,206785.00,201103.00,Pembrokeshire County Council,12/0252/PA,,,,,,28/06/2012,,,,,,,26/09/2012,,,,,,28/03/2013,51.675376,-4.7958766
1503,18/05/2015,PS Renewables,Redcourt Farm,Solar Photovoltaics,3.3,n/a,n/a,n/a,n/a,,Operational,Operational,"Redcourt Farm, Llysonnen Road, Carmarthen, Dyfed",Dyfed,Wales,Wales,237904.00,219365.00,Carmarthenshire County Council,W/30060,,,,,,01/05/2014,,,,,,,07/10/2014,,,,07/10/2019,15/01/2015,30/03/2015,51.849281,-4.354773
1520,05/01/2016,Wrexham County Borough Council,Bronwylfa Reservoir,Solar Photovoltaics,3,n/a,n/a,n/a,n/a,,Operational,Operational,"E/o Bronwylfa Reservoir, Aberoer Road, Aberoer, Wrexham, Clwyd, LL14 4LG",Clwyd,Wales,Wales,329049.00,348801.00,Wrexham County Borough Council,P/2014/0263,,,,,,11/04/2014,,,,,,,18/07/2014,,,,18/07/2019,01/01/2015,15/06/2015,53.031766,-3.0594408
1521,18/12/2015,Sybac Solar International GmbH ,Land At Court Farm,Solar Photovoltaics,2.2,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Court Farm, Treoes, Bridgend, Mid Glamorgan",Vale of Glamorgan,Wales,Wales,294767.00,178755.00,Vale of Glamorgan Council,2015/00026/FUL,,,,,,21/01/2015,,,,,,,05/06/2015,,,,05/06/2020,15/11/2015,16/03/2016,51.497907,-3.5173651
1577,23/09/2016,Heritage Energy,Clearwell Farm - solar,Solar Photovoltaics,2,n/a,n/a,n/a,n/a,,Operational,Operational,"Pentre-poeth Road, Cardiff",Gwent,Wales,Wales,324580.00,185321.00,Newport City Council,11/0339,,,,,,07/04/2011,,,,,,,20/05/2011,,,,,01/09/2014,15/12/2015,51.561704,-3.0893911
1580,14/06/2013,C. DARTNELL,Langstone Court Road Solar Farm,Solar Photovoltaics,2.5,n/a,n/a,n/a,n/a,,Operational,Operational,"Langstone Court Road, Langstone, Newport, Gwent",Gwent,Wales,Wales,336926.00,189507.00,Newport City Council,11/0311,,,,,,25/03/2011,,,,,,,09/11/2011,,,,,,11/01/2013,51.600856,-2.9120697
1597,16/02/2016,Ms Power Projects Ltd,Clawddcam-Mathry Solar Farm,Solar Photovoltaics,7.5,n/a,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,Haverfordwest,Dyfed,Wales,Wales,187717.00,228957.00,Pembrokeshire County Council,12/0162/PA,,,,,,31/05/2012,,,,,,,16/12/2013,,,,,,,51.918566,-5.0883019
1598,22/05/2014,Rudbaxton Solar Park Limited,Rudbaxton Solar Park,Solar Photovoltaics,10.8,n/a,n/a,n/a,n/a,,Operational,Operational,"Withyhedge Landfill Site, RUDBAXTON, Haverfordwest, SA62 4DB",Dyfed,Wales,Wales,196753.00,220959.00,Pembrokeshire County Council,11/1056/PA,,,,,,02/02/2012,,,,,,,27/07/2012,,,,,,08/03/2014,51.850125,-4.9523857
1612,25/10/2012,Wrexham Council,Wrexham Social Housing PV,Solar Photovoltaics,5.4,n/a,n/a,n/a,n/a,,Operational,Operational,Wrexham,Clwyd,Wales,Wales,333726.00,349750.00,Wrexham County Borough Council,,,,,,,,,,,,,,,,,,,01/03/2012,01/08/2012,53.040896,-2.9899065
1623,29/01/2014,Arqiva Ltd,AMBLESTON SOLAR PANELS,Solar Photovoltaics,6,n/a,n/a,n/a,n/a,,Operational,Operational,"Television Transmitter Centre, Ambleston, Haverfordwest, Dyfed, SA61",Dyfed,Wales,Wales,202885.00,226177.00,Pembrokeshire County Council,11/0104/PA,,,,,,16/06/2011,,,,,,,11/08/2011,,,,,24/10/2011,25/01/2012,51.899181,-4.8664566
1634,29/09/2015,Milford Haven Port Authority,Liddeston Ridge Solar Park (Milford Haven),Solar Photovoltaics,5,n/a,n/a,n/a,n/a,,Operational,Operational,"The S/E/O Court Road, Liddeston, Milford Haven, Dyfed",Dyfed,Wales,Wales,189837.00,206570.00,Pembrokeshire County Council,12/0614/PA,,,,,,02/10/2012,,,,,,,24/01/2013,,,,,13/11/2013,31/03/2014,51.718375,-5.0439337
1661,22/12/2015,Lightsource Renewable Energy,Langton Farm Solar park,Solar Photovoltaics,4.4,n/a,n/a,n/a,n/a,,Operational,Operational,"Land west of Langton Farm, Dwrbach, Fishguard, Pembrokeshire",Dyfed,Wales,Wales,194473.00,233813.00,Pembrokeshire County Council,12/1160/PA,,,,,,18/03/2013,,,,,,,19/11/2013,,,,,28/10/2015,03/12/2015,51.964701,-4.9931104
1719,29/09/2015,Munich RE,Caeremlyn Solar Farm,Solar Photovoltaics,18,n/a,n/a,n/a,n/a,,Operational,Operational,"Caermelyn Solar Farm, Land nr Llanlliwe Farm, Hellan Amgoed, Whitland",Dyfed,Wales,Wales,218627.00,217644.00,Carmarthenshire County Council,W/26672,,,,,,31/05/2012,,,,,,,14/01/2013,,,,,12/02/2014,31/03/2014,51.827891,-4.6334384
1746,22/09/2016,3C Energy/Conergy,Manor Farm (Monmouthshire),Solar Photovoltaics,10.5,n/a,n/a,n/a,n/a,,Operational,Operational,"Llanvapley, Monmouthshire",Gwent,Wales,Wales,336338.00,215519.00,Monmouthshire County Council,DC/2013/00006,APP/E6840/A/14/2212987,,,,,07/01/2013,,13/09/2013,04/04/2014,,,24/10/2014,24/10/2014,,,,,18/04/2016,23/06/2016,51.834636,-2.9253203
1765,27/11/2014,Sunsave,Fenton Home Farm,Solar Photovoltaics,31.3,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Fenton Home Farm, Crundale, Haverfordwest",Dyfed,Wales,Wales,198922.00,217459.00,Pembrokeshire County Council,13/0278/PA,,,,,,02/07/2013,,,,,,,05/12/2013,,,,05/12/2018,04/06/2014,12/09/2014,51.819484,-4.9189035
1774,03/11/2015,Anesco,Oak Cottage,Solar Photovoltaics,4.9,n/a,n/a,n/a,n/a,,Operational,Operational,"Land South of Oak Cottage, Wiston, Haverfordwest, Pembrokeshire, SA62 4PR",Dyfed,Wales,Wales,202911.00,217724.00,Pembrokeshire County Council,13/0916/PA,,,,,,28/01/2014,,,,,,,13/06/2014,,,,,01/07/2015,21/08/2015,51.823285,-4.8612555
1781,02/05/2017,Rockfire Capital ,Pen Y Cae solar farm,Solar Photovoltaics,6.9,n/a,n/a,n/a,n/a,,Operational,Operational,"Pen Y Cae, Saron, Ammanford, Dyfed",Dyfed,Wales,Wales,260143.00,211806.00,Carmarthenshire County Council,E/28086,,,,,,18/04/2013,,,,,,,19/09/2013,,,,,03/11/2014,26/03/2015,51.78738,-4.0290808
1787,01/07/2016,Mohammed Khaliq,Seaview Farm,Solar Photovoltaics,1.7,n/a,n/a,n/a,n/a,,Operational,Operational,"Seaview Farm, Pyle Road, Porthcawl",Mid Glamorgan,Wales,Wales,282372.00,178754.00,Bridgend County Borough Council,P/14/148/FUL,,,,,,05/03/2014,,,,,,,11/06/2014,,,,11/06/2017,01/05/2016,30/03/2016,51.495452,-3.6958459
1823,29/10/2014,Lightsource Renewable Energy,Sutton Mawr Farm,Solar Photovoltaics,7.5,n/a,n/a,n/a,n/a,,Operational,Operational,"Sutton Mawr Farm, Barry, South Glamorgan",South Glamorgan,Wales,Wales,307823.00,169675.00,Vale of Glamorgan Council,2013/00617/FUL,,,,,,02/07/2013,,,,,,,17/01/2014,,,,,,04/03/2014,51.418568,-3.3269706
1827,16/06/2015,Next Energy Solar Fund,Llwyn Du Solar Farm,Solar Photovoltaics,8,n/a,n/a,n/a,n/a,,Operational,Operational,"Llwyn Ddu, Blaenporth, Cardigan",Dyfed,Wales,Wales,227279.00,248567.00,Ceredigion County Council,A130555,,,,,,08/07/2013,,,,,,,20/01/2014,,,,,01/09/2014,26/02/2015,52.108387,-4.5235808
1862,26/05/2017,Lightsource Renewable Energy,Morfa Farm,Solar Photovoltaics,2,n/a,n/a,n/a,n/a,,Operational,Operational,"Morfa Farm, Morfa Lane, Llantwit Major, South Glamorgan",Vale of Glamorgan,Wales,Wales,295957.00,170244.00,Vale of Glamorgan Council,2015/00782/FUL,,,,,,15/07/2015,,,,,,,20/11/2015,,,,20/11/2020,18/10/2016,19/12/2016,51.421627,-3.4977216
1877,22/03/2017,Private Landowner,Tylerfedwen Farm Solar Park,Solar Photovoltaics,13.3,n/a,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,"Tylerfedwen Farm, Cwmafan, Port Talbot, West Glamorgan, SA12 9YA",West Glamorgan,Wales,Wales,276557.00,193490.00,Neath Port Talbot County Borough Council,P2013/1087,,,,,,19/12/2013,,,,,,,22/07/2014,,,,,,,51.626644,-3.7847484
1895,03/01/2017,Equitix,Garn Solar Farm,Solar Photovoltaics,7.4,n/a,n/a,n/a,n/a,,Operational,Operational,"The Garn Farm, St. Hilary, Cowbridge, South Glamorgan",South Glamorgan,Wales,Wales,303612.00,173658.00,Vale of Glamorgan Council,2012/01224/FUL,,,,,,16/11/2012,,,,,,,08/02/2013,,,,,,12/05/2014,51.45367,-3.388595
1900,03/02/2016,Canadian Solar,Pant-Y-Moch Farm,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,,Operational,Operational,Pantymoch Farm Penycae Port Talbot,West Glamorgan,Wales,Wales,277876.00,190467.00,Neath Port Talbot County Borough Council,P2014/0567,,,,,,27/06/2014,,,,,,,31/10/2014,,,,31/10/2019,01/11/2015,06/01/2016,51.599764,-3.7646486
1936,01/08/2014,Walters Group,Mynydd Bwllfa solar farm,Solar Photovoltaics,7.5,n/a,n/a,n/a,n/a,,Planning Application Submitted,Application Submitted,"E/O Mynydd Bwllfa Wind Farm, Aberdare, Mid Glamorgan, CF44",Mid Glamorgan,Wales,Wales,296708.00,203386.00,Rhondda Cynon Taff County Borough Council,14/0466/10,,,,,,11/04/2014,,,,,,,,,,,,,,51.719655,-3.4966787
1941,16/02/2017,Novus Solar Developments,Blaen Bowi,Solar Photovoltaics,5.7,n/a,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,"Capel Iwan, Newcastle, Emlyn, Carmarthenshire",Dyfed,Wales,Wales,232248.00,235208.00,Carmarthenshire County Council,W/26003,,,,,,18/01/2012,,,,,,,24/02/2012,,,,,,,51.989921,-4.4445323
1951,26/08/2014,Elgin Energy EsCo,Clawdd Ddu PV,Solar Photovoltaics,13.5,n/a,n/a,n/a,n/a,,Operational,Operational,"Potardulas Road, Tycroes, Swansea",Dyfed,Wales,Wales,259473.00,209981.00,Carmarthenshire County Council,S/27987,,,,,,27/03/2013,,,,,,,07/10/2013,,,,,,26/03/2014,51.770814,-4.0380487
1953,13/04/2015,Anesco,Abergelli Glas Solar Farm,Solar Photovoltaics,9.3,n/a,n/a,n/a,n/a,,Operational,Operational,Land at Abergelli Farm Felindre Swansea,Powys,Wales,Wales,265507.00,202009.00,City and County Council of Swansea,2013/0135,,,,,,18/02/2013,,,,,,,28/05/2013,,,,,01/11/2014,15/03/2015,51.700661,-3.947571
1975,31/05/2017,Good Energy Generation,Brynwhilach solar park,Solar Photovoltaics,12.7,n/a,n/a,n/a,n/a,,Operational,Operational,Land at Brynwhilach Felindre Road Llangyfelach Swansea ,West Glamorgan,Wales,Wales,264728.00,200461.00,City and County Council of Swansea,2014/1022,,,,,,16/07/2014,,,,,,,04/11/2014,,,,,16/01/2017,16/03/2017,51.686564,-3.9582356
1982,11/01/2016,Suncredit UK/ Vogt Solar,Court Colman solar park,Solar Photovoltaics,15,n/a,n/a,n/a,n/a,,Operational,Operational,LAND AT COURT COLMAN PENYFAI BRIDGEND,Mid Glamorgan,Wales,Wales,287791.00,181659.00,Bridgend County Borough Council,P/14/337/FUL,,,,,,13/05/2014,,,,,,,24/12/2014,,,,24/12/2019,01/07/2015,15/11/2015,51.522665,-3.6187438
1985,30/09/2015,Kronos Solar,Cwmcaesingrug Farm,Solar Photovoltaics,10,n/a,n/a,n/a,n/a,,Operational,Operational,Cwmcaesingrug Farm Mynyddislwyn Mountain Road Mynyddislwyn Blackwood NP12 2BG,Mid Glamorgan,Wales,Wales,319137.00,193566.00,Caerphilly County Borough Council,14/0276/FULL,,,,,,06/05/2014,,,,,,,08/08/2014,,,,,01/01/2015,02/03/2015,51.635067,-3.1697973
2074,03/02/2015,Good Energy Generation,Tiers Cross Solar Farm,Solar Photovoltaics,24,n/a,n/a,n/a,n/a,,Operational,Operational,"Rose Cottage Farm; Woodson Farm; Tierson Farm, Tiers Cross, Milford Haven, Dyfed",Dyfed,Wales,Wales,190200.00,209976.00,Pembrokeshire County Council,13/0214/PA,,,,,,24/05/2013,,,,,,,14/10/2013,,,,,19/12/2013,25/10/2014,51.749092,-5.0407401
2078,04/11/2014,Toyota Motor Manufacturing Ltd  - Graham Hillier - 01244 282027,Toyota Motor Manufacturing Uk - Deeside,Solar Photovoltaics,3.8,n/a,n/a,n/a,n/a,,Operational,Operational,"Toyota Motor Manufacturing Uk, Tenth Avenue, Deeside Industrial Park, Deeside, Clwyd",Clwyd,Wales,Wales,331682.00,370582.00,Flintshire County Council,51425,,,,,,30/10/2013,,,,,,,19/12/2013,,,,,26/05/2014,26/08/2014,53.227867,-3.0248339
2079,10/05/2016,Lightsource Renewable Energy,Trench Farm,Solar Photovoltaics,7.2,n/a,n/a,n/a,n/a,,Operational,Operational,"Trench Farm, Red Hall Lane, Penley, Wrexham LL13 0NA",Clwyd,Wales,Wales,338419.00,339068.00,Wrexham County Borough Council,P/2014/0484,,,,,,03/07/2014,,,,,,,05/11/2014,,,,05/11/2019,06/11/2014,30/03/2015,52.945448,-2.9178835
2093,16/06/2017,Cenin Renewables,Whitton Mawr,Solar Photovoltaics,6,n/a,n/a,n/a,n/a,,Operational,Operational,Land east of Five Mile Lane,South Glamorgan,Wales,Wales,308077.00,172202.00,Vale of Glamorgan Council,2014/00798/FUL,,,,,,18/07/2014,,,,,,,21/11/2014,,,,21/11/2017,15/11/2016,15/05/2017,51.441325,-3.3239755
2096,26/08/2014,Caerau Solar IQ,Woden Park,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,,Operational,Operational,"Cwrt Yr Ala Road, Michaelston-Le-Pit, Dinas Powys, South Glamorgan, CF5",South Glamorgan,Wales,Wales,313742.00,175059.00,Vale of Glamorgan Council,2012/01285/FUL,,,,,,06/12/2012,,,,,,,18/03/2013,,,,,,26/03/2014,51.4679,-3.2431866
2104,01/10/2014,Anesco,Bodorgan Solar Farm,Solar Photovoltaics,12.6,n/a,n/a,n/a,n/a,,Operational,Operational,"Tai Moelion farm near Aberffraw, Anglesey",Isle of Anglesey,Wales,Wales,238717.00,367342.00,Isle of Anglesey County Council,10C114A,,,,,,15/11/2012,,,,,,,09/02/2013,,,,,15/09/2013,20/06/2014,53.178669,-4.4148095
2106,24/02/2017,Mr. B Stephens,Buckwell Farm Solar Park,Solar Photovoltaics,8.1,n/a,n/a,n/a,n/a,,Planning permission granted,Awaiting Construction,"Buckwell Farm, Pen Y Cae Mawr Usk Monmouthshire",Gwent,Wales,Wales,342153.00,196498.00,Monmouthshire County Council,DC/2013/00925,,,,,,31/10/2013,,,,,,,06/08/2014,,,,06/08/2019,,,51.664269,-2.8377679
2110,30/09/2015,Kronos Solar,Parciau Farm Solar Park,Solar Photovoltaics,13.9,n/a,n/a,n/a,n/a,,Operational,Operational,"Parciau Farm, Griffiths Crossing, Caernarfon, Gwynedd",Gwynedd,Wales,Wales,250255.00,365482.00,Gwynedd Council,C14/0498/20/LL,,,,,,06/06/2014,,,,,,,22/09/2014,,,,,15/11/2014,23/03/2015,53.165336,-4.2414398
2137,14/05/2015,Lightsource Renewable Energy,Treguff Farm - resubmission,Solar Photovoltaics,4.4,n/a,n/a,n/a,n/a,,Operational,Operational,"Treguff Farm, St. Mary Church, Cowbridge",South Glamorgan,Wales,Wales,302265.00,171141.00,Vale of Glamorgan Council,2013/00912/FUL,,,,,,24/09/2013,,17/01/2014,,,,12/08/2014,12/08/2014,,,,,28/10/2014,11/02/2015,51.430814,-3.4072789
2176,19/01/2016,KS SPV53 Ltd,Hafod-Y-Dafal Farm,Solar Photovoltaics,14,n/a,n/a,n/a,n/a,,Operational,Operational,"Hafod-Y-Dafal Farm, Aberbeeg, Blaina, Gwent",Gwent,Wales,Wales,320100.00,203640.00,Blaenau Gwent County Borough Council,C/2014/0126,,,,42012,,16/05/2014,,,,,,,07/11/2014,,,,07/11/2019,15/11/2015,22/12/2015,51.725764,-3.1581947
2180,03/07/2017,John Laing Environmental Assets (formerly Camborne Capital),Shoals Hook Farm,Solar Photovoltaics,12.1,n/a,n/a,n/a,n/a,,Operational,Operational,"Land east of Shoals Hook Farm, Shoals Hook Lane, Haverfordwest, SA61 2XN",Dyfed,Wales,Wales,197321.00,216854.00,Pembrokeshire County Council,14/0056/PA,,,,,,06/05/2014,,,,,,,03/10/2014,,,,,01/01/2015,31/03/2015,51.813473,-4.9417459
2206,16/04/2015,MTS Hill Farm Solar Ltd,Penrhiwarwydd Farm,Solar Photovoltaics,8.5,n/a,n/a,n/a,n/a,,Operational,Operational,Penrhiwarwydd Farm Mynyddislwyn Mountain Road Mynyddislwyn Newport NP11 7BB,Mid Glamorgan,Wales,Wales,319934.00,193293.00,Caerphilly County Borough Council,14/0512/FULL,,,,,,29/07/2014,,,,,,,07/11/2014,,,,07/11/2019,01/01/2015,26/03/2015,51.632727,-3.1582213
2215,22/05/2017,Walters Group,Maesgwyn solar farm,Solar Photovoltaics,7.5,n/a,n/a,n/a,n/a,,Operational,Operational,Land East of Maesgwyn Wind Farm Glynneath Neath,West Glamorgan,Wales,Wales,288221.00,208706.00,Neath Port Talbot County Borough Council,P2014/0762,,,,,,05/08/2014,,,,,,,28/05/2015,,,,28/05/2020,01/12/2016,15/02/2017,51.765839,-3.6211986
2235,15/02/2017,Marcol Afan Energy,Foel Fawr,Solar Photovoltaics,5.1,n/a,n/a,n/a,n/a,,Appeal Granted,Awaiting Construction,LAND NORTH BRYNHEULOG CAERAU PARK MAESTEG BRIDGEND,Mid Glamorgan,Wales,Wales,285648.00,195107.00,Bridgend County Borough Council,P/14/543/FUL,APP/F6915/A/15/3133430,,,,,15/08/2014,,12/06/2015,24/11/2015,,,22/04/2016,22/04/2016,,,,,,,51.6431,-3.6540029
